14704,"213,82",13681,"83,54",13889,"95,49",-121482,600,-115719,600,-113527,600,-3027,600,-3119,600,-2533,600
,,13759,"201,5",   , ,-97394,600,-98308,600,-124054,600,   , ,-2999,600,,
 , ,14484,"19,22",   , ,-113985,600,-124632,600,-114305,600,   , ,-2721,600,   , 
 , ,15283,"160,87",   , ,-98130,600,-102646,600,-119911,600,   , ,-2268,600,   , 
 , ,14772,"155,05",   , ,-119204,600,-116348,600,-128880,600,   , ,-2479,600,   , 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-84540,600,-68412,600,-39014,600,-2100579,600,-1786006,600,-1885359,600,-112504,600,-122940,600,-133321,600
,,-59269,600,   , ,-1857704,600,-2029549,600,-1829350,600,   , ,-126480,600,,
 , ,-65140,600,   , ,-1912903,600,-1768041,600,-1960815,600,   , ,-130854,600,   , 
 , ,-65231,600,   , ,-1933139,600,-1638954,600,-1958657,600,   , ,-125949,600,   , 
 , ,-62069,600,   , ,-1917390,600,-1701954,600,-1848875,600,   , ,-125925,600,   , 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-534197,"600,18",-218962,"600,04",58436,"599,98",-5387244,"600,45",-5702757,"599,92",-5610006,600,-797874,600,-344005,600,-285542,600
,,-190344,600,   , ,-5887464,600,-6713580,"600,19",-6305630,600,   , ,-361409,600,,
 , ,-210919,600,   , ,-5527704,600,-5972868,600,-5893171,600,   , ,-323653,600,   , 
 , ,-188110,600,   , ,-5920865,600,-5672315,600,-5891274,600,   , ,-357084,600,   , 
 , ,-191998,600,   , ,-6214707,600,-7603991,600,-5650641,600,   , ,-340094,600,   , 
